authorId,paperId
69044839,e936f248b2c0489316ed1521656af2564c3502c3
51119622,e936f248b2c0489316ed1521656af2564c3502c3
2251263604,e936f248b2c0489316ed1521656af2564c3502c3
12620240,8dd0c1e955c66092ff951941a151336211e6e171
34686103,8dd0c1e955c66092ff951941a151336211e6e171
3428634,8dd0c1e955c66092ff951941a151336211e6e171
145963904,8dd0c1e955c66092ff951941a151336211e6e171
77994979,bab5e35001757719d0f8338f94dde2860dae784a
2063969144,bab5e35001757719d0f8338f94dde2860dae784a
2352513,bab5e35001757719d0f8338f94dde2860dae784a
51219112,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
1413772109,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
144114446,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
2146324505,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
144477225,04eaa03dc670afa88c9f3c83fc8da08ef4d31cdd
144614651,c07802ed8a25998e9bd44ee1ddbcc63b7eb34060
1401723615,c07802ed8a25998e9bd44ee1ddbcc63b7eb34060
12311439,6548106035c7208ad498730627874a482734b9ac
48846759,6548106035c7208ad498730627874a482734b9ac
2515101,6548106035c7208ad498730627874a482734b9ac
2113241298,82e1e8b222aeaca19d45375b31fdc825d1a821b8
31951653,82e1e8b222aeaca19d45375b31fdc825d1a821b8
20456790,82e1e8b222aeaca19d45375b31fdc825d1a821b8
2142466387,82e1e8b222aeaca19d45375b31fdc825d1a821b8
2106164,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
2149306720,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
46800539,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
2346920182,28b5df48dd23ffc7e7d64fc43e2a420e05ab88f8
145863506,c96fc88631f2b8e2fe192027a8a237445635328c
50549847,c96fc88631f2b8e2fe192027a8a237445635328c
1777330,c96fc88631f2b8e2fe192027a8a237445635328c
3217909,c96fc88631f2b8e2fe192027a8a237445635328c
1685737,91bda0785eaf642515eefc9ff2ecd7ddbacaccae
